winning_agent,winning_bid_value,Winner Aggregated Signal,Profit,Probability,winning_bid_time,N,A,L,S,B,Delay
4.0,0.15300068638963174,0.15942312497565633,0.0064224385860245925,0.9845350054108761,1211.0,4.0,4.0,4.0,4.0,0.0,1.0
1.0,0.12494443777293157,0.13144663350629585,0.006502195733364274,0.966731828866152,1199.0,4.0,4.0,4.0,4.0,0.0,1.0
5.0,0.04191301482441637,0.0485307366558254,0.006617721831409032,0.9458261065132995,1180.0,4.0,4.0,4.0,4.0,0.0,1.0
14.0,0.10030676534494913,0.11182020655951654,0.011513441214567405,0.9716045850625589,1208.0,4.0,4.0,4.0,4.0,0.0,1.0
3.0,0.11420437475998572,0.12076812299789844,0.0065637482379127116,0.9734306525071889,1200.0,4.0,4.0,4.0,4.0,0.0,1.0
9.0,0.1626855478510683,0.16915214781020885,0.006466599959140534,0.9412683297129083,1207.0,4.0,4.0,4.0,4.0,0.0,1.0
7.0,0.06508740816383603,0.07158186251382401,0.00649445434998798,0.996233600909364,1197.0,4.0,4.0,4.0,4.0,0.0,1.0
3.0,0.4107226219178815,0.41717034197265923,0.006447720054777728,0.8866896421811955,1215.0,4.0,4.0,4.0,4.0,0.0,1.0
2.0,0.09667381818413538,0.10348527074726767,0.006811452563132286,0.9517585515202744,1189.0,4.0,4.0,4.0,4.0,0.0,1.0
5.0,0.04807043817813876,0.05480186368708376,0.0067314255089449965,0.983046618196783,1198.0,4.0,4.0,4.0,4.0,0.0,1.0
15.0,0.5617753809127832,0.5684197579569046,0.006644377044121352,0.9865478149451193,1213.0,4.0,4.0,4.0,4.0,0.0,1.0
2.0,0.19098923000614831,0.19737963797507335,0.006390407968925038,0.9855971997063186,1208.0,4.0,4.0,4.0,4.0,0.0,1.0
5.0,0.19236981998468383,0.19906527701996612,0.006695457035282293,0.998809731901461,1204.0,4.0,4.0,4.0,4.0,0.0,1.0
2.0,0.11033176834476752,0.11714596990058357,0.006814201555816052,0.9151209500754202,1197.0,4.0,4.0,4.0,4.0,0.0,1.0
1.0,0.10203942189419057,0.10858060384830537,0.006541181954114794,0.9758150324086003,1198.0,4.0,4.0,4.0,4.0,0.0,1.0
12.0,0.07523874974908493,0.0816997959752387,0.006461046226153774,0.8680346972867559,1214.0,4.0,4.0,4.0,4.0,0.0,1.0
2.0,0.09165124510007198,0.0983907535818329,0.006739508481760914,0.9586811849191322,1202.0,4.0,4.0,4.0,4.0,0.0,1.0
13.0,0.05679003394068809,0.06363862882649668,0.006848594885808593,0.9511820628132541,1188.0,4.0,4.0,4.0,4.0,0.0,1.0
0.0,0.14130019611236275,0.14785786227223668,0.006557666159873937,0.9865893745543887,1182.0,4.0,4.0,4.0,4.0,0.0,1.0
1.0,0.07021945989919968,0.07684202073381702,0.006622560834617333,0.8758311478471152,1206.0,4.0,4.0,4.0,4.0,0.0,1.0
1.0,0.03667582974291436,0.04315578725941954,0.00647995751650518,0.9786483566023533,1194.0,4.0,4.0,4.0,4.0,0.0,1.0
8.0,0.03963581217181907,0.046257717319852766,0.006621905148033694,0.998950758107722,1205.0,4.0,4.0,4.0,4.0,0.0,1.0
9.0,0.13176772679068585,0.13818031183271087,0.006412585042025021,0.9955911748490642,1200.0,4.0,4.0,4.0,4.0,0.0,1.0
0.0,0.08654771796771928,0.09323423376100452,0.006686515793285247,0.9814241597612944,1209.0,4.0,4.0,4.0,4.0,0.0,1.0
2.0,0.13456329934721586,0.14097993770474845,0.006416638357532589,0.9950911647949923,1200.0,4.0,4.0,4.0,4.0,0.0,1.0
3.0,0.09121775200225482,0.09767248242628015,0.0064547304240253345,0.9811225934421133,1195.0,4.0,4.0,4.0,4.0,0.0,1.0
1.0,0.07001143771292484,0.07655712541354644,0.006545687700621597,0.8763231141405939,1182.0,4.0,4.0,4.0,4.0,0.0,1.0
9.0,0.10448504389325536,0.11107071736856487,0.006585673475309514,0.980134098125106,1185.0,4.0,4.0,4.0,4.0,0.0,1.0
10.0,0.7839395806105978,0.79070636074469,0.006766780134092265,0.9995723249278932,1201.0,4.0,4.0,4.0,4.0,0.0,1.0
1.0,0.13103953404199276,0.13752718421591378,0.006487650173921028,0.9886056330162845,1205.0,4.0,4.0,4.0,4.0,0.0,1.0
3.0,0.10516206180717189,0.11270901050973134,0.007546948702559453,0.9828576322674484,1212.0,4.0,4.0,4.0,4.0,0.0,1.0
3.0,0.1023245432464091,0.1088612597126425,0.006536716466233397,0.9532779628914141,1205.0,4.0,4.0,4.0,4.0,0.0,1.0
0.0,0.11598574391831927,0.12260864198149632,0.006622898063177049,0.9952405441142952,1185.0,4.0,4.0,4.0,4.0,0.0,1.0
2.0,0.2428394293341121,0.25046200843706695,0.007622579102954857,0.9939780837906672,1194.0,4.0,4.0,4.0,4.0,0.0,1.0
12.0,0.09963702428905259,0.10647066128242558,0.006833636993372985,0.9923519389497686,1185.0,4.0,4.0,4.0,4.0,0.0,1.0
4.0,0.25605441884759245,0.2624178849699702,0.006363466122377759,0.9731586896827191,1206.0,4.0,4.0,4.0,4.0,0.0,1.0
1.0,0.09459909872854191,0.1011260806706452,0.006526981942103285,0.8948285095949573,1215.0,4.0,4.0,4.0,4.0,0.0,1.0
6.0,0.08452629798289954,0.09255805501251015,0.008031757029610606,0.948612372334419,1200.0,4.0,4.0,4.0,4.0,0.0,1.0
8.0,0.043441444628699116,0.04998155064854469,0.0065401060198455735,0.9975145811020975,1193.0,4.0,4.0,4.0,4.0,0.0,1.0
0.0,0.1139988170933262,0.12042667093791543,0.006427853844589229,0.9764692452512312,1177.0,4.0,4.0,4.0,4.0,0.0,1.0
12.0,0.09281971054167733,0.09925299701948062,0.006433286477803293,0.9792547743751132,1208.0,4.0,4.0,4.0,4.0,0.0,1.0
0.0,0.1785935322303698,0.18519959816909293,0.006606065938723121,0.9844321869853458,1214.0,4.0,4.0,4.0,4.0,0.0,1.0
