winning_agent,winning_bid_value,Winner Aggregated Signal,Profit,Probability,winning_bid_time,N,A,L,S,B,Delay
5.0,0.06862235458534381,0.0751367428318894,0.0065143882465455855,0.962527036024649,1211.0,4.0,4.0,4.0,4.0,1.0,1.0
8.0,0.146772644187409,0.15328834765640023,0.0065157034689912185,0.889977969378478,1199.0,4.0,4.0,4.0,4.0,1.0,1.0
15.0,0.27140714961235135,0.2778434806404363,0.006436331028084941,0.9867370409744641,1205.0,4.0,4.0,4.0,4.0,1.0,1.0
11.0,0.03856019292010664,0.04502597828709256,0.0064657853669859225,0.8829973926339914,1193.0,4.0,4.0,4.0,4.0,1.0,1.0
15.0,0.15665758419600917,0.16618530443022705,0.009527720234217885,0.9968111619377472,1208.0,4.0,4.0,4.0,4.0,1.0,1.0
14.0,0.30092663498726446,0.30750480708623024,0.006578172098965773,0.9043001215642418,1196.0,4.0,4.0,4.0,4.0,1.0,1.0
16.0,0.25594867789604603,0.09818840579389385,-0.15776027210215218,0.9675343162729627,1200.0,4.0,4.0,4.0,4.0,1.0,1.0
16.0,0.26259334512786525,0.1482116081458256,-0.11438173698203966,0.8460899540595502,1183.0,4.0,4.0,4.0,4.0,1.0,1.0
16.0,0.20058666886394635,0.20707257239672391,0.006485903532777559,0.9490097319819502,1206.0,4.0,4.0,4.0,4.0,1.0,1.0
16.0,0.25248680688414943,0.06916722881506614,-0.18331957806908328,0.9047977448882468,1195.0,4.0,4.0,4.0,4.0,1.0,1.0
12.0,0.12355069104393318,0.13004218426746894,0.00649149322353576,0.987370907844523,1207.0,4.0,4.0,4.0,4.0,1.0,1.0
16.0,0.2621618552838395,0.11815473363603436,-0.14400712164780516,0.8458048652011412,1185.0,4.0,4.0,4.0,4.0,1.0,1.0
11.0,0.050970486399755544,0.057526231057740684,0.006555744657985141,0.9984210426029889,1204.0,4.0,4.0,4.0,4.0,1.0,1.0
14.0,0.29516132882567164,0.30183574497822596,0.006674416152554319,0.9079855900088873,1191.0,4.0,4.0,4.0,4.0,1.0,1.0
12.0,0.08929335074384828,0.09580542895944422,0.0065120782155959345,0.9351770235426133,1203.0,4.0,4.0,4.0,4.0,1.0,1.0
12.0,0.1050973193699823,0.11559720798675013,0.01049988861676783,0.9765306389776695,1196.0,4.0,4.0,4.0,4.0,1.0,1.0
16.0,0.26425570733825343,0.16514858013519762,-0.09910712720305581,0.9409192521818854,1197.0,4.0,4.0,4.0,4.0,1.0,1.0
