winning_agent,winning_bid_value,Winner Aggregated Signal,Profit,Probability,winning_bid_time,N,A,L,S,B,Delay
6.0,0.08135793800212246,0.08782820141425887,0.006470263412136412,0.9506452564279411,1190.0,4.0,4.0,4.0,4.0,1.0,1.0
4.0,0.06421966556315445,0.07077659429754714,0.006556928734392689,0.9982728246995035,1186.0,4.0,4.0,4.0,4.0,1.0,1.0
7.0,0.06480220657034046,0.0714396440911525,0.006637437520812042,0.9455377441664816,1203.0,4.0,4.0,4.0,4.0,1.0,1.0
15.0,5.182821479577414,5.189288958796556,0.006467479219142369,0.9967059695144636,1222.0,4.0,4.0,4.0,4.0,1.0,1.0
6.0,0.10778618141035243,0.11428055293835748,0.006494371528005055,0.9510285589369676,1205.0,4.0,4.0,4.0,4.0,1.0,1.0
16.0,0.033920282648554824,0.040347632288624195,0.006427349640069371,0.9834876597650657,1190.0,4.0,4.0,4.0,4.0,1.0,1.0
5.0,0.16280283960890507,0.16914914042553564,0.006346300816630568,0.9712912210571106,1187.0,4.0,4.0,4.0,4.0,1.0,1.0
15.0,0.41842197704734724,0.4250418910612224,0.006619914013875183,0.9943206308607743,1189.0,4.0,4.0,4.0,4.0,1.0,1.0
13.0,0.06352152291140792,0.07100332392597018,0.007481801014562264,0.9620749252134726,1222.0,4.0,4.0,4.0,4.0,1.0,1.0
12.0,0.6275781467110837,0.6340497730471321,0.006471626336048364,0.990503113612158,1195.0,4.0,4.0,4.0,4.0,1.0,1.0
10.0,0.13008125026310374,0.13659643995508727,0.006515189691983531,0.9848410056513474,1210.0,4.0,4.0,4.0,4.0,1.0,1.0
13.0,0.0995705788128899,0.10603039982549828,0.006459821012608377,0.9779042237405914,1213.0,4.0,4.0,4.0,4.0,1.0,1.0
15.0,0.16765885406697903,0.17419141687303344,0.006532562806054409,0.9872117402182495,1195.0,4.0,4.0,4.0,4.0,1.0,1.0
14.0,0.09627859898619195,0.10439737525887907,0.008118776272687117,0.9834062404149497,1201.0,4.0,4.0,4.0,4.0,1.0,1.0
12.0,0.8277957491818687,0.8343604570300149,0.006564707848146223,0.9935223239690378,1197.0,4.0,4.0,4.0,4.0,1.0,1.0
1.0,6.471444786365327,6.477930943590603,0.0064861572252761235,0.9587958611792942,1210.0,4.0,4.0,4.0,4.0,1.0,1.0
4.0,0.05977458718157723,0.06620560607667321,0.00643101889509598,0.9303495274022581,1199.0,4.0,4.0,4.0,4.0,1.0,1.0
3.0,0.09825472275309168,0.10495009759217848,0.006695374839086804,0.9623481025792776,1198.0,4.0,4.0,4.0,4.0,1.0,1.0
16.0,0.12117856105394827,0.1278480655919414,0.006669504537993129,0.9855815343143991,1195.0,4.0,4.0,4.0,4.0,1.0,1.0
11.0,0.10795157816251902,0.11535239967218523,0.007400821509666214,0.9431344725850823,1194.0,4.0,4.0,4.0,4.0,1.0,1.0
16.0,0.25943820692058284,0.0973878059103703,-0.16205040101021254,0.9899179719917706,1194.0,4.0,4.0,4.0,4.0,1.0,1.0
16.0,0.2633336532372062,0.12083000331339364,-0.14250364992381256,0.9073117282758392,1195.0,4.0,4.0,4.0,4.0,1.0,1.0
5.0,0.29688141329396844,0.30390033387676274,0.007018920582794297,0.9998944765112056,1211.0,4.0,4.0,4.0,4.0,1.0,1.0
9.0,0.09040178019528575,0.09730025599451417,0.006898475799228421,0.9656620033805993,1202.0,4.0,4.0,4.0,4.0,1.0,1.0
16.0,0.2506679931303906,0.03615279635489088,-0.21451519677549974,0.8569344397347145,1191.0,4.0,4.0,4.0,4.0,1.0,1.0
16.0,0.26752416899085674,0.08847273249940837,-0.17905143649144836,0.9550876562195926,1188.0,4.0,4.0,4.0,4.0,1.0,1.0
4.0,0.0690652132698588,0.07575776624307592,0.006692552973217122,0.9976015618944307,1185.0,4.0,4.0,4.0,4.0,1.0,1.0
12.0,0.04894683015663923,0.05549890983554702,0.0065520796789077865,0.9477145191407381,1201.0,4.0,4.0,4.0,4.0,1.0,1.0
0.0,0.08630597203911339,0.09278951836677429,0.006483546327660905,0.8982826102964662,1196.0,4.0,4.0,4.0,4.0,1.0,1.0
16.0,0.2615180592089476,0.17756595173484413,-0.08395210747410348,0.8450768418023483,1185.0,4.0,4.0,4.0,4.0,1.0,1.0
8.0,0.10001468756996587,0.10664240327008212,0.006627715700116249,0.9873285875184026,1199.0,4.0,4.0,4.0,4.0,1.0,1.0
13.0,0.03850594672869711,0.04505518473212275,0.006549238003425641,0.9894891477500075,1200.0,4.0,4.0,4.0,4.0,1.0,1.0
5.0,0.31161769219222063,0.3181298512824274,0.006512159090206748,0.9854899897253574,1193.0,4.0,4.0,4.0,4.0,1.0,1.0
16.0,0.2559456934715582,0.09167606451917533,-0.1642696289523829,0.8421071638531223,1198.0,4.0,4.0,4.0,4.0,1.0,1.0
16.0,0.06582661692690074,0.07233580231792186,0.006509185391021119,0.9886951612729455,1203.0,4.0,4.0,4.0,4.0,1.0,1.0
6.0,0.06798630439148227,0.07459580020372009,0.006609495812237812,0.9945887123237998,1200.0,4.0,4.0,4.0,4.0,1.0,1.0
16.0,0.2612608712564245,0.05581633549026016,-0.20544453576616434,0.9999758103773145,1192.0,4.0,4.0,4.0,4.0,1.0,1.0
6.0,0.09140160638335454,0.09813088722192741,0.006729280838572868,0.988630791833501,1203.0,4.0,4.0,4.0,4.0,1.0,1.0
0.0,0.12279939121669725,0.12954322678719404,0.006743835570496792,0.9952432060890009,1209.0,4.0,4.0,4.0,4.0,1.0,1.0
2.0,0.05065072757824992,0.05712418174663624,0.006473454168386322,0.9799858639524492,1202.0,4.0,4.0,4.0,4.0,1.0,1.0
10.0,0.08348810529007557,0.08998547194977052,0.006497366659694956,0.9817553564969039,1200.0,4.0,4.0,4.0,4.0,1.0,1.0
2.0,0.3127116484894977,0.3191980408136826,0.006486392324184909,0.9720635246365528,1206.0,4.0,4.0,4.0,4.0,1.0,1.0
4.0,0.0961971876066419,0.10276324316787017,0.0065660555612282595,0.9783720876233659,1215.0,4.0,4.0,4.0,4.0,1.0,1.0
9.0,0.15260936418094911,0.15920628149859406,0.006596917317644946,0.993932025659015,1204.0,4.0,4.0,4.0,4.0,1.0,1.0
6.0,0.24193439641830794,0.2485139277001151,0.0065795312818071605,0.9735171049336839,1203.0,4.0,4.0,4.0,4.0,1.0,1.0
1.0,0.04857489307592149,0.05495415919461164,0.0063792661186901495,0.9239597450353721,1208.0,4.0,4.0,4.0,4.0,1.0,1.0
16.0,0.25599140845395973,0.049188838258117935,-0.2068025701958418,0.822531284435598,1191.0,4.0,4.0,4.0,4.0,1.0,1.0
5.0,0.06266039199830004,0.06925826500576147,0.006597873007461438,0.9663143374442841,1198.0,4.0,4.0,4.0,4.0,1.0,1.0
0.0,0.15558586735124658,0.16201062730485266,0.006424759953606085,0.9941234839387405,1201.0,4.0,4.0,4.0,4.0,1.0,1.0
16.0,0.25976292865002854,0.044944085861040914,-0.2148188427889876,0.8493918042566044,1179.0,4.0,4.0,4.0,4.0,1.0,1.0
0.0,0.06489346456481032,0.07154963434016193,0.006656169775351606,0.9562198822956983,1196.0,4.0,4.0,4.0,4.0,1.0,1.0
16.0,0.253534685234744,0.25825804794461804,0.004723362709874057,0.9792822755537998,1192.0,4.0,4.0,4.0,4.0,1.0,1.0
15.0,0.13987990125770433,0.14672654167014368,0.006846640412439348,0.9813166525977424,1197.0,4.0,4.0,4.0,4.0,1.0,1.0
16.0,0.2694691695435038,0.10565616769658162,-0.16381300184692218,0.870642978156018,1185.0,4.0,4.0,4.0,4.0,1.0,1.0
3.0,0.04672115417391002,0.05319183293648621,0.00647067876257619,0.9397195953952617,1199.0,4.0,4.0,4.0,4.0,1.0,1.0
8.0,0.09606476102064473,0.10269114403794459,0.006626383017299856,0.9717807317238092,1197.0,4.0,4.0,4.0,4.0,1.0,1.0
0.0,0.04989709160018055,0.056503112312365544,0.006606020712184996,0.9569370113385348,1209.0,4.0,4.0,4.0,4.0,1.0,1.0
0.0,0.039975996372700856,0.04633756978910763,0.0063615734164067725,0.9798174153562731,1195.0,4.0,4.0,4.0,4.0,1.0,1.0
16.0,0.21153467803473408,0.2182254268641482,0.006690748829414117,0.9738287374059482,1209.0,4.0,4.0,4.0,4.0,1.0,1.0
2.0,0.1299854004106193,0.13664788209583054,0.006662481685211247,0.9736959877714761,1194.0,4.0,4.0,4.0,4.0,1.0,1.0
14.0,0.0637112386086731,0.07003435380037931,0.006323115191706211,0.9283447764833651,1210.0,4.0,4.0,4.0,4.0,1.0,1.0
16.0,0.25249039036468157,0.1157773427818719,-0.13671304758280967,0.9133663858612708,1185.0,4.0,4.0,4.0,4.0,1.0,1.0
4.0,0.44550939236653236,0.4519780221954864,0.00646862982895402,0.9977369962574569,1191.0,4.0,4.0,4.0,4.0,1.0,1.0
3.0,0.07915217482853185,0.08564929878450203,0.0064971239559701854,0.994074676332553,1209.0,4.0,4.0,4.0,4.0,1.0,1.0
11.0,0.029241409940289544,0.035797840084158844,0.0065564301438693,0.9981053845791474,1215.0,4.0,4.0,4.0,4.0,1.0,1.0
9.0,0.49180832785985007,0.4984200749599864,0.006611747100136345,0.9942008097348001,1191.0,4.0,4.0,4.0,4.0,1.0,1.0
8.0,0.181319168308418,0.18783728673854347,0.00651811843012548,0.9994423674925342,1206.0,4.0,4.0,4.0,4.0,1.0,1.0
1.0,0.09553325378840022,0.10229937279179177,0.006766119003391552,0.9728998300144793,1179.0,4.0,4.0,4.0,4.0,1.0,1.0
16.0,0.2603523520971762,0.08527277395060544,-0.17507957814657077,0.8667931330049172,1182.0,4.0,4.0,4.0,4.0,1.0,1.0
16.0,0.2659106508693632,0.12003204951548871,-0.1458786013538745,0.8487998000025804,1192.0,4.0,4.0,4.0,4.0,1.0,1.0
3.0,0.17568165937583308,0.1820773027876026,0.006395643411769514,0.9955495661854972,1201.0,4.0,4.0,4.0,4.0,1.0,1.0
1.0,0.07344070952385241,0.07992373138617606,0.0064830218623236485,0.9683603687552848,1200.0,4.0,4.0,4.0,4.0,1.0,1.0
0.0,0.25323218943303477,0.25982743795372387,0.006595248520689101,0.9909187931392474,1197.0,4.0,4.0,4.0,4.0,1.0,1.0
1.0,0.28694520297648957,0.2934866579856452,0.00654145500915565,0.9867303863684203,1200.0,4.0,4.0,4.0,4.0,1.0,1.0
15.0,0.0906964917463985,0.09720876025849064,0.006512268512092134,0.9883524462720837,1206.0,4.0,4.0,4.0,4.0,1.0,1.0
16.0,0.2591667667243346,0.19700640016051832,-0.062160366563816266,0.8401113674856707,1204.0,4.0,4.0,4.0,4.0,1.0,1.0
5.0,0.10440428011545533,0.11156012262073385,0.007155842505278523,0.989162334497623,1202.0,4.0,4.0,4.0,4.0,1.0,1.0
12.0,0.2717009450088308,0.2784011823837981,0.006700237374967277,0.9872192023789268,1210.0,4.0,4.0,4.0,4.0,1.0,1.0
3.0,0.05856440148730685,0.06510880078161366,0.0065443992943068074,0.9564969252500526,1200.0,4.0,4.0,4.0,4.0,1.0,1.0
4.0,1.1287151856680242,1.1352324182548548,0.006517232586830568,0.9921599041302013,1186.0,4.0,4.0,4.0,4.0,1.0,1.0
6.0,0.06101051044718913,0.06745813002428568,0.006447619577096546,0.9565113183060039,1192.0,4.0,4.0,4.0,4.0,1.0,1.0
2.0,0.1334297448468096,0.13996306205725773,0.006533317210448114,0.9572847190706044,1194.0,4.0,4.0,4.0,4.0,1.0,1.0
2.0,0.10284751492431518,0.10930417701220181,0.00645666208788663,0.9603418791347837,1196.0,4.0,4.0,4.0,4.0,1.0,1.0
16.0,0.2615944990854637,0.09610844090870231,-0.16548605817676143,0.9567620780587196,1185.0,4.0,4.0,4.0,4.0,1.0,1.0
16.0,0.25618868310138626,0.03723797167626303,-0.21895071142512323,0.8411859840783174,1198.0,4.0,4.0,4.0,4.0,1.0,1.0
0.0,0.034365468058777195,0.041006875044854924,0.006641406986077729,0.9648389320450428,1202.0,4.0,4.0,4.0,4.0,1.0,1.0
14.0,0.11903674736020177,0.1256015160099361,0.006564768649734334,0.9909845841242165,1210.0,4.0,4.0,4.0,4.0,1.0,1.0
7.0,0.8708618123938032,0.8774112450270743,0.006549432633271124,0.973995060278116,1219.0,4.0,4.0,4.0,4.0,1.0,1.0
9.0,0.07130466328185216,0.07781026425964754,0.006505600977795387,0.9642399586109082,1225.0,4.0,4.0,4.0,4.0,1.0,1.0
2.0,0.05280128020933264,0.05943043296500979,0.006629152755677152,0.9910582531069088,1212.0,4.0,4.0,4.0,4.0,1.0,1.0
14.0,0.842247484347196,0.8487741824700024,0.006526698122806374,0.9939920040706078,1211.0,4.0,4.0,4.0,4.0,1.0,1.0
7.0,0.25842306523269504,0.26497450648999105,0.006551441257296009,0.9185530371922013,1190.0,4.0,4.0,4.0,4.0,1.0,1.0
16.0,0.26463795184202626,0.160745408439555,-0.10389254340247125,0.8146093670835759,1174.0,4.0,4.0,4.0,4.0,1.0,1.0
0.0,0.2366115365555914,0.2431344155691426,0.006522879013551197,0.9928729314879661,1225.0,4.0,4.0,4.0,4.0,1.0,1.0
16.0,0.26037698985311225,0.0629761269210861,-0.19740086293202613,0.8031993773018957,1188.0,4.0,4.0,4.0,4.0,1.0,1.0
3.0,0.2493222149479824,0.2560281897613673,0.006705974813384918,0.9450041426793502,1184.0,4.0,4.0,4.0,4.0,1.0,1.0
5.0,0.1755242781455273,0.18226170903576855,0.006737430890241258,0.9872408462306456,1205.0,4.0,4.0,4.0,4.0,1.0,1.0
4.0,0.06450400103454054,0.07106213864569927,0.006558137611158726,0.9865514404474838,1186.0,4.0,4.0,4.0,4.0,1.0,1.0
12.0,0.08770678586667863,0.0942203783851179,0.006513592518439276,0.9682386318266465,1204.0,4.0,4.0,4.0,4.0,1.0,1.0
16.0,0.2696488010281183,0.21507167325350787,-0.05457712777461041,0.9582477655854804,1170.0,4.0,4.0,4.0,4.0,1.0,1.0
16.0,0.1574810450059792,0.16425061084972264,0.006769565843743441,0.9649390552940241,1187.0,4.0,4.0,4.0,4.0,1.0,1.0
14.0,0.04342050192304319,0.049900871340774054,0.0064803694177308635,0.9530872721538333,1200.0,4.0,4.0,4.0,4.0,1.0,1.0
16.0,0.06839121961668244,0.07482774488766948,0.006436525270987037,0.972015093032567,1220.0,4.0,4.0,4.0,4.0,1.0,1.0
13.0,0.10510726934600499,0.11178018216735869,0.0066729128213536965,0.9808792090278424,1219.0,4.0,4.0,4.0,4.0,1.0,1.0
16.0,0.2658939691534695,0.059389631126835624,-0.2065043380266339,0.894205212431161,1190.0,4.0,4.0,4.0,4.0,1.0,1.0
16.0,0.26679027041011266,0.14958465451028213,-0.11720561589983053,0.8663492571846124,1199.0,4.0,4.0,4.0,4.0,1.0,1.0
8.0,0.1076910862334513,0.11429522352830848,0.006604137294857176,0.8748404167510462,1193.0,4.0,4.0,4.0,4.0,1.0,1.0
14.0,0.058425806475408064,0.06585213644463617,0.007426329969228103,0.9247190579906029,1201.0,4.0,4.0,4.0,4.0,1.0,1.0
4.0,0.08675826710937842,0.09314954316384252,0.006391276054464101,0.9869701331619198,1189.0,4.0,4.0,4.0,4.0,1.0,1.0
16.0,0.25874160667923624,0.11865512598387626,-0.14008648069535998,0.9689403187225182,1184.0,4.0,4.0,4.0,4.0,1.0,1.0
16.0,0.26844652129767754,0.10685200060112163,-0.16159452069655592,0.9076508181394191,1180.0,4.0,4.0,4.0,4.0,1.0,1.0
10.0,0.28227707352209264,0.28887437102050206,0.006597297498409427,0.9136440108189092,1194.0,4.0,4.0,4.0,4.0,1.0,1.0
0.0,0.29995673673528367,0.30645312122160917,0.006496384486325502,0.978202367470633,1205.0,4.0,4.0,4.0,4.0,1.0,1.0
16.0,0.26768490906236,0.18520283045129815,-0.08248207861106183,0.8821015383346328,1198.0,4.0,4.0,4.0,4.0,1.0,1.0
11.0,0.09411585000818633,0.10099641296064335,0.006880562952457023,0.9980239731225158,1198.0,4.0,4.0,4.0,4.0,1.0,1.0
3.0,0.11661709697666035,0.12293616185151271,0.0063190648748523565,0.9957869161854481,1193.0,4.0,4.0,4.0,4.0,1.0,1.0
16.0,0.2521797852716059,0.11362674378724276,-0.13855304148436315,0.9960630959736807,1196.0,4.0,4.0,4.0,4.0,1.0,1.0
16.0,0.08508368019141703,0.09157976016132563,0.0064960799699086,0.9908697644994247,1193.0,4.0,4.0,4.0,4.0,1.0,1.0
11.0,0.11245649635381744,0.11906934076166178,0.006612844407844348,0.9629116043783924,1197.0,4.0,4.0,4.0,4.0,1.0,1.0
3.0,0.04809782102500234,0.0546381115776315,0.006540290552629162,0.9936944742283481,1186.0,4.0,4.0,4.0,4.0,1.0,1.0
9.0,0.05698066309193265,0.06350955343670153,0.006528890344768883,0.9731414757711082,1205.0,4.0,4.0,4.0,4.0,1.0,1.0
8.0,0.10312133822285643,0.10964713408807167,0.006525795865215234,0.9841222507912614,1189.0,4.0,4.0,4.0,4.0,1.0,1.0
8.0,0.19820823962773843,0.2048434686268571,0.00663522899911867,0.9884507670643736,1205.0,4.0,4.0,4.0,4.0,1.0,1.0
10.0,0.07361056633620869,0.08018339037534697,0.006572824039138281,0.9947444813837784,1190.0,4.0,4.0,4.0,4.0,1.0,1.0
1.0,0.3849607393885751,0.3915674690383762,0.00660672964980108,0.8839417464209216,1198.0,4.0,4.0,4.0,4.0,1.0,1.0
10.0,0.15516898041092522,0.16186260554137116,0.00669362513044594,0.9877413518334288,1207.0,4.0,4.0,4.0,4.0,1.0,1.0
16.0,0.2637026968299479,0.11766837205557625,-0.14603432477437167,0.9721669957956867,1182.0,4.0,4.0,4.0,4.0,1.0,1.0
13.0,0.11409646377033411,0.12071331200987015,0.006616848239536038,0.9858177106056988,1186.0,4.0,4.0,4.0,4.0,1.0,1.0
16.0,0.2611060170533539,0.08420369827518427,-0.17690231877816964,0.8831064548503101,1194.0,4.0,4.0,4.0,4.0,1.0,1.0
4.0,0.14643985821943079,0.15291802456615022,0.006478166346719438,0.9431210141831565,1192.0,4.0,4.0,4.0,4.0,1.0,1.0
15.0,0.1996909497783145,0.20610005438909973,0.006409104610785227,0.9684612577972482,1207.0,4.0,4.0,4.0,4.0,1.0,1.0
3.0,0.13620258509310063,0.1427339119830492,0.006531326889948563,0.940289930239345,1209.0,4.0,4.0,4.0,4.0,1.0,1.0
15.0,0.04492993978206669,0.051455979756388465,0.006526039974321773,0.9479997018578497,1213.0,4.0,4.0,4.0,4.0,1.0,1.0
2.0,0.6773474869066116,0.6837717144481048,0.006424227541493188,0.9298965280616286,1195.0,4.0,4.0,4.0,4.0,1.0,1.0
11.0,0.20088119687601438,0.20736291709849455,0.0064817202224801695,0.963332062361843,1202.0,4.0,4.0,4.0,4.0,1.0,1.0
8.0,0.13238879054850022,0.13903664177174258,0.0066478512232423514,0.9608274595139678,1204.0,4.0,4.0,4.0,4.0,1.0,1.0
0.0,0.0946485844240058,0.10268246824737219,0.008033883823366395,0.9860115685805011,1195.0,4.0,4.0,4.0,4.0,1.0,1.0
16.0,0.3467930011678305,0.3533458378440029,0.006552836676172402,0.981247761040025,1212.0,4.0,4.0,4.0,4.0,1.0,1.0
6.0,0.49225254134306323,0.49894539132174587,0.006692849978682636,0.9835023359499764,1206.0,4.0,4.0,4.0,4.0,1.0,1.0
9.0,0.074659899697838,0.08136452435356364,0.006704624655725647,0.9523788433021774,1207.0,4.0,4.0,4.0,4.0,1.0,1.0
15.0,0.05684765212177037,0.06331790875516363,0.006470256633393262,0.9903873781444154,1196.0,4.0,4.0,4.0,4.0,1.0,1.0
16.0,0.26251761665068724,0.0663395902934505,-0.19617802635723675,0.9602109021943656,1201.0,4.0,4.0,4.0,4.0,1.0,1.0
16.0,0.2699006988571375,0.1391997066660871,-0.1307009921910504,0.8045426237520955,1195.0,4.0,4.0,4.0,4.0,1.0,1.0
14.0,0.1409804329395417,0.14740222679208845,0.006421793852546737,0.9845070442729651,1201.0,4.0,4.0,4.0,4.0,1.0,1.0
10.0,0.10569220244571337,0.11229678654085279,0.006604584095139421,0.9515544524453209,1197.0,4.0,4.0,4.0,4.0,1.0,1.0
16.0,1.3116461006660207,1.3184371502064494,0.00679104954042864,0.9493909379153419,1211.0,4.0,4.0,4.0,4.0,1.0,1.0
4.0,0.14171764303567702,0.14821080366576134,0.006493160630084316,0.9752386930556698,1195.0,4.0,4.0,4.0,4.0,1.0,1.0
16.0,0.25453614004497843,0.1030093814534514,-0.15152675859152703,0.8362287543541842,1194.0,4.0,4.0,4.0,4.0,1.0,1.0
5.0,0.05736284927983163,0.06388104345205003,0.006518194172218404,0.9908284594176371,1207.0,4.0,4.0,4.0,4.0,1.0,1.0
4.0,0.20468525669596,0.21114905232731826,0.006463795631358266,0.9943929766838797,1190.0,4.0,4.0,4.0,4.0,1.0,1.0
7.0,0.0674278470417919,0.07390223713071953,0.006474390088927626,0.9997979786588518,1196.0,4.0,4.0,4.0,4.0,1.0,1.0
16.0,0.2509768136370675,0.04282129324300244,-0.20815552039406504,0.9586004673104823,1183.0,4.0,4.0,4.0,4.0,1.0,1.0
16.0,0.2558607648313706,0.05023564020471327,-0.20562512462665733,0.8616522538473932,1188.0,4.0,4.0,4.0,4.0,1.0,1.0
16.0,0.2697171615103369,0.11117296915435505,-0.15854419235598188,0.8863868078126095,1197.0,4.0,4.0,4.0,4.0,1.0,1.0
15.0,0.08896376323532844,0.09581247853930959,0.006848715303981151,0.9770130068092895,1199.0,4.0,4.0,4.0,4.0,1.0,1.0
16.0,0.2686537634018267,0.0537373845681507,-0.21491637883367598,0.8650223857836217,1196.0,4.0,4.0,4.0,4.0,1.0,1.0
12.0,0.5623222340512914,0.5688223136405408,0.0065000795892493635,0.9841901589101238,1209.0,4.0,4.0,4.0,4.0,1.0,1.0
7.0,0.09299357118623772,0.09940867517793292,0.0064151039916952035,0.870668526955261,1193.0,4.0,4.0,4.0,4.0,1.0,1.0
6.0,0.1855618342743525,0.19203969873904117,0.006477864464688676,0.9632318056634415,1203.0,4.0,4.0,4.0,4.0,1.0,1.0
16.0,0.2511662681755316,0.12711976281208115,-0.12404650536345047,0.9887278435680823,1191.0,4.0,4.0,4.0,4.0,1.0,1.0
16.0,0.12984912999266016,0.1364278510957903,0.006578721103130153,0.9516703121772928,1180.0,4.0,4.0,4.0,4.0,1.0,1.0
1.0,0.23568171781369016,0.24218781936782094,0.006506101554130783,0.9588494639790419,1190.0,4.0,4.0,4.0,4.0,1.0,1.0
13.0,0.10192752378999964,0.10851408058049428,0.006586556790494635,0.9688823877446034,1197.0,4.0,4.0,4.0,4.0,1.0,1.0
16.0,0.26315328396930493,0.03696779844928327,-0.22618548552002166,0.8576530741409962,1186.0,4.0,4.0,4.0,4.0,1.0,1.0
15.0,0.21773902342493992,0.22444498635771798,0.006705962932778059,0.949208230101731,1199.0,4.0,4.0,4.0,4.0,1.0,1.0
1.0,0.127066602213222,0.1342431393583468,0.007176537145124812,0.9802997886585995,1199.0,4.0,4.0,4.0,4.0,1.0,1.0
4.0,0.09031651594100013,0.09731641899637375,0.006999903055373624,0.9125397236952291,1198.0,4.0,4.0,4.0,4.0,1.0,1.0
0.0,0.101184700357284,0.10774122866880455,0.006556528311520551,0.9986474954572615,1201.0,4.0,4.0,4.0,4.0,1.0,1.0
12.0,0.09418038108708449,0.10060559710166203,0.006425216014577545,0.9767651094611325,1202.0,4.0,4.0,4.0,4.0,1.0,1.0
10.0,0.22304713311243266,0.2293115772478459,0.006264444135413244,0.9970774056074437,1200.0,4.0,4.0,4.0,4.0,1.0,1.0
