winning_agent,winning_bid_value,Winner Aggregated Signal,Profit,Probability,winning_bid_time,N,A,L,S,B,Delay
10.0,0.2532935915043212,0.14252872033746852,-0.11076487116685266,0.8565657426291333,1194.0,0.0,8.0,0.0,0.0,8.0,1.0
14.0,0.059118496900761826,0.06569310375770429,0.006574606856942465,0.9753720485987643,1208.0,0.0,8.0,0.0,0.0,8.0,1.0
0.0,0.21988241015386945,0.2262876679503179,0.00640525779644846,0.952067895165464,1203.0,0.0,8.0,0.0,0.0,8.0,1.0
15.0,0.26871838519658325,0.0806517561625199,-0.18806662903406335,0.8722868256727663,1201.0,0.0,8.0,0.0,0.0,8.0,1.0
13.0,0.2699194137158636,0.09659685051530421,-0.1733225632005594,0.8614847424401528,1184.0,0.0,8.0,0.0,0.0,8.0,1.0
1.0,0.07009175695280091,0.07664396514009034,0.006552208187289424,0.9252712199583143,1199.0,0.0,8.0,0.0,0.0,8.0,1.0
9.0,0.2001928342997561,0.21216408115664748,0.011971246856891382,0.9290747238130885,1208.0,0.0,8.0,0.0,0.0,8.0,1.0
15.0,0.26584226066520417,0.07836801170245905,-0.18747424896274512,0.8571499303667103,1181.0,0.0,8.0,0.0,0.0,8.0,1.0
8.0,0.26642185243078825,0.18598488244725575,-0.0804369699835325,0.9075400744051287,1195.0,0.0,8.0,0.0,0.0,8.0,1.0
11.0,0.2616836249313588,0.17208576128788644,-0.08959786364347239,0.8439493980412677,1191.0,0.0,8.0,0.0,0.0,8.0,1.0
5.0,0.07311824476927488,0.08156912585611409,0.00845088108683921,0.926649539380273,1204.0,0.0,8.0,0.0,0.0,8.0,1.0
12.0,0.25672756238440053,0.10664169292780036,-0.15008586945660018,0.9164342334773389,1198.0,0.0,8.0,0.0,0.0,8.0,1.0
11.0,0.19979174154637785,0.2062463875742222,0.006454646027844346,0.994889264995664,1203.0,0.0,8.0,0.0,0.0,8.0,1.0
1.0,0.09947279660416271,0.1061882507960292,0.006715454191866491,0.9996575308460278,1205.0,0.0,8.0,0.0,0.0,8.0,1.0
1.0,1.4531487220056458,1.4599421365848972,0.006793414579251422,0.9638815986916127,1202.0,0.0,8.0,0.0,0.0,8.0,1.0
4.0,0.11212445499724424,0.11867384750978673,0.006549392512542482,0.986881656486441,1199.0,0.0,8.0,0.0,0.0,8.0,1.0
12.0,0.2549853401657563,0.05502026572473229,-0.19996507444102402,0.931215812191333,1200.0,0.0,8.0,0.0,0.0,8.0,1.0
11.0,0.25506061712394135,0.043646310229258266,-0.21141430689468307,0.8870902712948058,1206.0,0.0,8.0,0.0,0.0,8.0,1.0
3.0,0.03611720305658104,0.042637584432581734,0.0065203813760006946,0.9831910673741722,1227.0,0.0,8.0,0.0,0.0,8.0,1.0
8.0,0.7195039915323147,0.7304560997920594,0.010952108259744686,0.9882641688124147,1193.0,0.0,8.0,0.0,0.0,8.0,1.0
11.0,0.26474298145099484,0.07895410497115936,-0.1857888764798355,0.8721988039935786,1188.0,0.0,8.0,0.0,0.0,8.0,1.0
10.0,0.2510618259502327,0.09654967663667341,-0.15451214931355928,0.987124087579913,1200.0,0.0,8.0,0.0,0.0,8.0,1.0
15.0,0.26884294030769457,0.08456409428513013,-0.18427884602256445,0.8954088326202223,1191.0,0.0,8.0,0.0,0.0,8.0,1.0
11.0,0.25901157495142224,0.09681472380171717,-0.16219685114970506,0.9297915079950297,1200.0,0.0,8.0,0.0,0.0,8.0,1.0
12.0,0.25508879161579906,0.15691409893486913,-0.09817469268092993,0.9998479500658901,1201.0,0.0,8.0,0.0,0.0,8.0,1.0
12.0,0.2634688333061239,0.08115398250327956,-0.18231485080284437,0.880661093599911,1199.0,0.0,8.0,0.0,0.0,8.0,1.0
14.0,0.26448191340547644,0.0839258523283572,-0.18055606107711925,0.9442772653830875,1196.0,0.0,8.0,0.0,0.0,8.0,1.0
13.0,0.26993487954832635,0.11167173022123986,-0.1582631493270865,0.9326321171985431,1188.0,0.0,8.0,0.0,0.0,8.0,1.0
14.0,0.26293032042461756,0.16327422981099496,-0.0996560906136226,0.855672976551895,1202.0,0.0,8.0,0.0,0.0,8.0,1.0
5.0,0.1818966873513385,0.18851112934244427,0.0066144419911057795,0.9864689780138232,1206.0,0.0,8.0,0.0,0.0,8.0,1.0
9.0,0.2560101585720203,0.04657875505818474,-0.20943140351383557,0.8322714046920433,1189.0,0.0,8.0,0.0,0.0,8.0,1.0
4.0,0.07826373804074718,0.08486028903551891,0.00659655099477173,0.9892670685241639,1203.0,0.0,8.0,0.0,0.0,8.0,1.0
12.0,0.25275950753005344,0.07448818151264555,-0.1782713260174079,0.9212731973153625,1208.0,0.0,8.0,0.0,0.0,8.0,1.0
12.0,0.2663315806073193,0.0686780292220637,-0.19765355138525562,0.981950159693306,1203.0,0.0,8.0,0.0,0.0,8.0,1.0
8.0,0.2672220269961256,0.24981248766020991,-0.017409539335915658,0.9940315121369379,1199.0,0.0,8.0,0.0,0.0,8.0,1.0
0.0,0.18770472100331673,0.19435736662770003,0.006652645624383308,0.9805743503821533,1208.0,0.0,8.0,0.0,0.0,8.0,1.0
12.0,0.26128248075785554,0.05238963265210361,-0.20889284810575193,0.8121193719915517,1178.0,0.0,8.0,0.0,0.0,8.0,1.0
12.0,0.26946307479309106,0.1751680616829115,-0.09429501311017957,0.8145308913721917,1202.0,0.0,8.0,0.0,0.0,8.0,1.0
5.0,0.09952927900961328,0.10608633182599164,0.0065570528163783615,0.988022044474388,1195.0,0.0,8.0,0.0,0.0,8.0,1.0
9.0,0.2547001846892842,0.13055315120914723,-0.12414703348013695,0.8822613428448077,1194.0,0.0,8.0,0.0,0.0,8.0,1.0
14.0,0.2688803520158616,0.06887126054391965,-0.20000909147194193,0.9777508954633286,1200.0,0.0,8.0,0.0,0.0,8.0,1.0
12.0,0.21408690826185392,0.22075028739630562,0.006663379134451697,0.9869610162518268,1208.0,0.0,8.0,0.0,0.0,8.0,1.0
14.0,0.2620248102719917,0.060636908336651224,-0.20138790193534048,0.8712923079215218,1200.0,0.0,8.0,0.0,0.0,8.0,1.0
14.0,0.08086281512433166,0.08746766326827497,0.006604848143943312,0.980434105968267,1205.0,0.0,8.0,0.0,0.0,8.0,1.0
8.0,0.2621305964306272,0.0870764885395482,-0.175054107891079,0.8301114943384684,1185.0,0.0,8.0,0.0,0.0,8.0,1.0
2.0,0.2309050982345088,0.23759084212215392,0.006685743887645118,0.9839923099356103,1198.0,0.0,8.0,0.0,0.0,8.0,1.0
12.0,0.2676778699307841,0.18961809188564188,-0.07805977804514219,0.9540290678623218,1174.0,0.0,8.0,0.0,0.0,8.0,1.0
0.0,0.19995705190789595,0.20643415503893736,0.006477103131041412,0.9408647850179354,1208.0,0.0,8.0,0.0,0.0,8.0,1.0
11.0,0.2625941689764518,0.17182033135587477,-0.09077383762057706,0.9486296332984429,1194.0,0.0,8.0,0.0,0.0,8.0,1.0
10.0,0.2622459085095131,0.12694294921026567,-0.13530295929924746,0.9498407054124542,1201.0,0.0,8.0,0.0,0.0,8.0,1.0
13.0,0.2687444072453454,0.07526882314170741,-0.19347558410363797,0.8428458153713907,1202.0,0.0,8.0,0.0,0.0,8.0,1.0
9.0,0.1493827529429403,0.1558174180215849,0.006434665078644625,0.943162252560229,1203.0,0.0,8.0,0.0,0.0,8.0,1.0
15.0,0.2556238302664832,0.08473200009858889,-0.17089183016789433,0.8017550371951855,1201.0,0.0,8.0,0.0,0.0,8.0,1.0
15.0,0.10062869310612586,0.10726250349068045,0.0066338103845545865,0.9495124870021382,1205.0,0.0,8.0,0.0,0.0,8.0,1.0
10.0,0.10363618274139563,0.11004420973377194,0.006408026992376303,0.9834459261040465,1199.0,0.0,8.0,0.0,0.0,8.0,1.0
14.0,0.2696683715628303,0.0718317087101424,-0.19783666285268792,0.8830666870986867,1189.0,0.0,8.0,0.0,0.0,8.0,1.0
2.0,0.28266995580137355,0.2892182440596462,0.006548288258272639,0.9949430818441197,1202.0,0.0,8.0,0.0,0.0,8.0,1.0
12.0,0.2591521894076965,0.2660118860078172,0.006859696600120702,0.9978366177159528,1197.0,0.0,8.0,0.0,0.0,8.0,1.0
6.0,1.0774806884610735,1.0840491682265443,0.006568479765470814,0.9629847481207213,1195.0,0.0,8.0,0.0,0.0,8.0,1.0
10.0,0.2678361633167929,0.11101304220749114,-0.15682312110930174,0.9946807147854444,1190.0,0.0,8.0,0.0,0.0,8.0,1.0
1.0,0.09846295581665362,0.10501559220401924,0.006552636387365612,0.9981185664511569,1217.0,0.0,8.0,0.0,0.0,8.0,1.0
15.0,0.2588961162447802,0.09301890932337639,-0.1658772069214038,0.8635358503681057,1200.0,0.0,8.0,0.0,0.0,8.0,1.0
14.0,0.26021980387403526,0.05467726587845238,-0.20554253799558286,0.9855825311461919,1200.0,0.0,8.0,0.0,0.0,8.0,1.0
8.0,0.26949772836805436,0.11700324855346132,-0.15249447981459302,0.8024714521399832,1189.0,0.0,8.0,0.0,0.0,8.0,1.0
