winning_agent,winning_bid_value,Winner Aggregated Signal,Profit,Probability,winning_bid_time,N,A,L,S,B,Delay
5.0,0.23513156236527694,0.24160382367651018,0.0064722613112332406,0.9193379761413693,1200.0,0.0,8.0,8.0,0.0,0.0,1.0
9.0,0.09109055434260674,0.09754043275825311,0.006449878415646371,0.9940853334929498,1205.0,0.0,8.0,8.0,0.0,0.0,1.0
5.0,0.04490636845943025,0.051386119725121464,0.006479751265691211,0.9650557867098004,1175.0,0.0,8.0,8.0,0.0,0.0,1.0
14.0,0.06627318239715169,0.07274540856848807,0.006472226171336387,0.9795673976210879,1190.0,0.0,8.0,8.0,0.0,0.0,1.0
7.0,0.06272761407573406,0.0692702307491243,0.0065426166733902474,0.9756661442091961,1202.0,0.0,8.0,8.0,0.0,0.0,1.0
14.0,0.1246738754696631,0.1312614673560479,0.006587591886384803,0.9669044095770296,1189.0,0.0,8.0,8.0,0.0,0.0,1.0
14.0,0.05779690869761672,0.06426644729664055,0.0064695385990238274,0.9968482012759523,1210.0,0.0,8.0,8.0,0.0,0.0,1.0
2.0,0.09945538517246577,0.10687615538766626,0.0074207702152004895,0.9596679985651758,1196.0,0.0,8.0,8.0,0.0,0.0,1.0
13.0,0.08259302068057998,0.08910834576038466,0.006515325079804679,0.8855635269238491,1194.0,0.0,8.0,8.0,0.0,0.0,1.0
0.0,0.050799999999999804,0.10854396200722949,0.057743962007229685,0.9966756379514716,1170.0,0.0,8.0,8.0,0.0,0.0,1.0
0.0,0.0858851361978497,0.11020581987254452,0.024320683674694824,0.9739117950544144,1186.0,0.0,8.0,8.0,0.0,0.0,1.0
14.0,0.09451164769870735,0.10114359444050589,0.006631946741798539,0.9557956999775569,1191.0,0.0,8.0,8.0,0.0,0.0,1.0
15.0,0.11930319857321624,0.12594796596721833,0.006644767394002091,0.966432278954716,1195.0,0.0,8.0,8.0,0.0,0.0,1.0
10.0,0.033739328578011145,0.04054620632993665,0.006806877751925504,0.8973152401194013,1191.0,0.0,8.0,8.0,0.0,0.0,1.0
1.0,0.07147883056783083,0.0779788821602008,0.006500051592369965,0.936425818817763,1193.0,0.0,8.0,8.0,0.0,0.0,1.0
7.0,0.24929602156059114,0.2563759811338594,0.007079959573268263,0.9947917877262187,1189.0,0.0,8.0,8.0,0.0,0.0,1.0
9.0,0.12000278269052636,0.12648081905143674,0.0064780363609103775,0.9474736899191211,1214.0,0.0,8.0,8.0,0.0,0.0,1.0
13.0,0.13080974297996803,0.1374793428464837,0.006669599866515663,0.9674586154260552,1201.0,0.0,8.0,8.0,0.0,0.0,1.0
9.0,0.16247950406401054,0.1690130042056929,0.006533500141682358,0.9751983088582085,1189.0,0.0,8.0,8.0,0.0,0.0,1.0
9.0,0.183040518048856,0.1897668763035315,0.0067263582546755185,0.9890655676631495,1214.0,0.0,8.0,8.0,0.0,0.0,1.0
4.0,0.11566742858096266,0.12396164812303209,0.008294219542069436,0.9313083020328634,1205.0,0.0,8.0,8.0,0.0,0.0,1.0
0.0,0.09289109398568533,0.09942732337429547,0.006536229388610135,0.9929793052441587,1194.0,0.0,8.0,8.0,0.0,0.0,1.0
11.0,0.050527547394702804,0.05703327755304055,0.006505730158337747,0.9807725936768108,1189.0,0.0,8.0,8.0,0.0,0.0,1.0
15.0,0.07646180103488816,0.08293649685039081,0.006474695815502654,0.9910630831020562,1207.0,0.0,8.0,8.0,0.0,0.0,1.0
15.0,0.11608514744301135,0.1226105274045659,0.006525379961554556,0.8905842758151132,1181.0,0.0,8.0,8.0,0.0,0.0,1.0
12.0,0.1372842121902765,0.14376059637197863,0.006476384181702127,0.9937276632824931,1205.0,0.0,8.0,8.0,0.0,0.0,1.0
13.0,0.34795610273959354,0.35454789551054633,0.006591792770952787,0.9999645341123298,1209.0,0.0,8.0,8.0,0.0,0.0,1.0
12.0,0.41962717893487095,0.4262096841105932,0.006582505175722231,0.9890748106171043,1199.0,0.0,8.0,8.0,0.0,0.0,1.0
0.0,0.05591025532813777,0.1533113079038445,0.09740105257570673,0.805253396511059,1180.0,0.0,8.0,8.0,0.0,0.0,1.0
8.0,0.10599319624491427,0.11245616397911389,0.006462967734199618,0.9911928528246068,1200.0,0.0,8.0,8.0,0.0,0.0,1.0
1.0,0.08071015881246278,0.08731969712923203,0.006609538316769248,0.9075660115436623,1193.0,0.0,8.0,8.0,0.0,0.0,1.0
12.0,0.10403635110181574,0.11046204697069893,0.006425695868883197,0.9816577010482588,1194.0,0.0,8.0,8.0,0.0,0.0,1.0
12.0,0.11527980894059477,0.12188733593400727,0.0066075269934125075,0.9935476937059521,1205.0,0.0,8.0,8.0,0.0,0.0,1.0
11.0,0.20036002178156032,0.2070726930768368,0.006712671295276473,0.9750594444256484,1211.0,0.0,8.0,8.0,0.0,0.0,1.0
10.0,0.24908513685289382,0.25557046450284465,0.006485327649950828,0.9959103421472477,1201.0,0.0,8.0,8.0,0.0,0.0,1.0
13.0,0.11952684744414874,0.1259467745030751,0.006419927058926356,0.9066324969320866,1196.0,0.0,8.0,8.0,0.0,0.0,1.0
2.0,0.029498845019525276,0.03774676885637955,0.008247923836854274,0.9524181465360657,1173.0,0.0,8.0,8.0,0.0,0.0,1.0
8.0,0.20479939382464404,0.21247459711214078,0.00767520328749674,0.983520678292408,1184.0,0.0,8.0,8.0,0.0,0.0,1.0
12.0,0.11371524194857596,0.12039175128849879,0.006676509339922823,0.9634990217380894,1200.0,0.0,8.0,8.0,0.0,0.0,1.0
0.0,0.14556538845696995,0.15512035158024315,0.009554963123273197,0.9954785452815793,1205.0,0.0,8.0,8.0,0.0,0.0,1.0
14.0,0.07742511241431899,0.08399476957817117,0.006569657163852188,0.9743882381514434,1194.0,0.0,8.0,8.0,0.0,0.0,1.0
3.0,0.18626309696929935,0.19290185817949715,0.006638761210197797,0.9964422533724615,1192.0,0.0,8.0,8.0,0.0,0.0,1.0
15.0,0.1889915976335044,0.19547341224813547,0.006481814614631071,0.9510915722334073,1210.0,0.0,8.0,8.0,0.0,0.0,1.0
9.0,0.06864471728422145,0.07528436059655155,0.006639643312330107,0.9564297530383494,1218.0,0.0,8.0,8.0,0.0,0.0,1.0
5.0,0.06325143884934546,0.0700496092556637,0.006798170406318235,0.9980439678952397,1195.0,0.0,8.0,8.0,0.0,0.0,1.0
9.0,0.09969316246162775,0.10629052248245148,0.006597360020823728,0.9998160766551477,1198.0,0.0,8.0,8.0,0.0,0.0,1.0
1.0,0.061224213099146226,0.06776373064437041,0.006539517545224187,0.995145888778991,1212.0,0.0,8.0,8.0,0.0,0.0,1.0
0.0,0.04740538826803313,0.05387791075244293,0.006472522484409798,0.9861889573022566,1212.0,0.0,8.0,8.0,0.0,0.0,1.0
15.0,0.055383545796919724,0.06201255217466367,0.006629006377743947,0.9845593882162491,1205.0,0.0,8.0,8.0,0.0,0.0,1.0
0.0,0.7354206898838394,0.742434130279188,0.00701344039534868,0.9546586609451508,1197.0,0.0,8.0,8.0,0.0,0.0,1.0
15.0,0.11385651560760209,0.12046850763494577,0.00661199202734368,0.9501309319866041,1209.0,0.0,8.0,8.0,0.0,0.0,1.0
11.0,0.12155403830108295,0.12820376636231015,0.0066497280612271975,0.9334243623752683,1210.0,0.0,8.0,8.0,0.0,0.0,1.0
3.0,0.15223504763732607,0.16060853889546986,0.008373491258143795,0.92988215266646,1211.0,0.0,8.0,8.0,0.0,0.0,1.0
2.0,0.10995608736274584,0.11672388490506053,0.006767797542314685,0.9919092225958945,1199.0,0.0,8.0,8.0,0.0,0.0,1.0
15.0,0.12292012902455657,0.12935155027428846,0.0064314212497318946,0.991292105596999,1191.0,0.0,8.0,8.0,0.0,0.0,1.0
12.0,0.042221901043830425,0.04876492963292009,0.006543028589089665,0.9127093652370019,1205.0,0.0,8.0,8.0,0.0,0.0,1.0
14.0,0.08246103695339223,0.08915376360056461,0.006692726647172381,0.8822991920662571,1190.0,0.0,8.0,8.0,0.0,0.0,1.0
12.0,0.15485852890987267,0.16133253659299016,0.006474007683117483,0.9921492115203154,1200.0,0.0,8.0,8.0,0.0,0.0,1.0
11.0,0.46851482292000435,0.4751142750078058,0.0065994520878014384,0.9749573364391588,1194.0,0.0,8.0,8.0,0.0,0.0,1.0
0.0,0.08456891257935285,0.09119228114658945,0.0066233685672365955,0.9479367506728287,1188.0,0.0,8.0,8.0,0.0,0.0,1.0
3.0,0.1686803385601942,0.1752502138976571,0.006569875337462894,0.9752914276087836,1203.0,0.0,8.0,8.0,0.0,0.0,1.0
14.0,0.11073622272938502,0.11732562139204597,0.00658939866266095,0.9877400737941346,1188.0,0.0,8.0,8.0,0.0,0.0,1.0
14.0,0.05150088467413418,0.05821848891595803,0.006717604241823848,0.9413320341003929,1184.0,0.0,8.0,8.0,0.0,0.0,1.0
15.0,0.2687064330925518,0.275207639987006,0.006501206894454159,0.9772466844779474,1193.0,0.0,8.0,8.0,0.0,0.0,1.0
13.0,0.2072370704922959,0.21376719332400332,0.0065301228317074245,0.9883824797650018,1206.0,0.0,8.0,8.0,0.0,0.0,1.0
6.0,0.1024328793801097,0.10894209794025618,0.006509218560146482,0.9781084887069605,1200.0,0.0,8.0,8.0,0.0,0.0,1.0
1.0,0.08239690579342034,0.08904051346224577,0.006643607668825435,0.9859111358248236,1203.0,0.0,8.0,8.0,0.0,0.0,1.0
9.0,0.14261650598836742,0.14922175484760586,0.006605248859238438,0.9527939895777614,1188.0,0.0,8.0,8.0,0.0,0.0,1.0
11.0,0.13519550258742238,0.1416889721018467,0.00649346951442431,0.9931427172278229,1194.0,0.0,8.0,8.0,0.0,0.0,1.0
4.0,0.0866802135734114,0.0932917108688101,0.0066114972953986995,0.923395933405559,1193.0,0.0,8.0,8.0,0.0,0.0,1.0
7.0,0.10824502260040081,0.1147735615795587,0.006528538979157894,0.9965274236195376,1192.0,0.0,8.0,8.0,0.0,0.0,1.0
1.0,0.1009576632517226,0.10812040598009132,0.007162742728368712,0.9806859276427422,1205.0,0.0,8.0,8.0,0.0,0.0,1.0
3.0,0.20736723010766325,0.21440239573163547,0.007035165623972217,0.9456027224907652,1220.0,0.0,8.0,8.0,0.0,0.0,1.0
4.0,0.1408644166561805,0.14900807490920528,0.008143658253024794,0.9928387269755726,1188.0,0.0,8.0,8.0,0.0,0.0,1.0
5.0,0.21110164922572944,0.21754150115090976,0.006439851925180318,0.9487696776784897,1200.0,0.0,8.0,8.0,0.0,0.0,1.0
12.0,0.07116334361834485,0.0777874126456549,0.006624069027310053,0.9712127940286792,1202.0,0.0,8.0,8.0,0.0,0.0,1.0
3.0,0.09603143875183716,0.10324930118958439,0.007217862437747233,0.9162292153783319,1194.0,0.0,8.0,8.0,0.0,0.0,1.0
14.0,0.05878834060421609,0.06636393357859494,0.0075755929743788475,0.8961657628713611,1190.0,0.0,8.0,8.0,0.0,0.0,1.0
12.0,0.09088591304078525,0.09753459580274818,0.006648682761962926,0.9803762406984899,1208.0,0.0,8.0,8.0,0.0,0.0,1.0
2.0,0.05064362058020945,0.05914041865880566,0.008496798078596213,0.9270868218763013,1186.0,0.0,8.0,8.0,0.0,0.0,1.0
0.0,0.05712714836454347,0.06924009314493673,0.012112944780393264,0.9223448575454176,1188.0,0.0,8.0,8.0,0.0,0.0,1.0
3.0,0.06795179219018375,0.07455996141454665,0.0066081692243629,0.9691917918896393,1209.0,0.0,8.0,8.0,0.0,0.0,1.0
0.0,0.057643999855304676,0.06417096939463329,0.006526969539328617,0.9141212967599678,1193.0,0.0,8.0,8.0,0.0,0.0,1.0
13.0,0.10544102099952872,0.11205278301772052,0.006611762018191802,0.9592174337619912,1214.0,0.0,8.0,8.0,0.0,0.0,1.0
0.0,0.031828541121056465,0.038979404362536094,0.007150863241479628,0.9474845686719064,1197.0,0.0,8.0,8.0,0.0,0.0,1.0
11.0,0.04463867362314378,0.051138055735132776,0.0064993821119889925,0.954294132553406,1216.0,0.0,8.0,8.0,0.0,0.0,1.0
8.0,0.09085934508500072,0.09732087874420696,0.006461533659206237,0.9899116001594375,1205.0,0.0,8.0,8.0,0.0,0.0,1.0
13.0,0.26333665373856885,0.2706297487890519,0.007293095050483034,0.9330588497772656,1210.0,0.0,8.0,8.0,0.0,0.0,1.0
9.0,0.04848729516470502,0.05484233812233235,0.00635504295762733,0.9624429235183743,1199.0,0.0,8.0,8.0,0.0,0.0,1.0
15.0,0.21056809036162855,0.217095909863733,0.006527819502104459,0.9987979218547052,1197.0,0.0,8.0,8.0,0.0,0.0,1.0
11.0,0.3235935729982796,0.33007827184586885,0.006484698847589232,0.9739565397102551,1211.0,0.0,8.0,8.0,0.0,0.0,1.0
4.0,0.33230623343679544,0.3388120602105913,0.006505826773795853,0.9992812051288518,1198.0,0.0,8.0,8.0,0.0,0.0,1.0
1.0,0.10433430059942744,0.11184723620060336,0.007512935601175913,0.9905966212351348,1209.0,0.0,8.0,8.0,0.0,0.0,1.0
9.0,0.43320666367076477,0.4398245230745091,0.0066178594037443195,0.9861602117273842,1201.0,0.0,8.0,8.0,0.0,0.0,1.0
10.0,0.06672992425611671,0.07331200676279774,0.0065820825066810335,0.9913734565032055,1200.0,0.0,8.0,8.0,0.0,0.0,1.0
6.0,0.1003783948973158,0.10800664314372867,0.0076282482464128665,0.9058814444758099,1187.0,0.0,8.0,8.0,0.0,0.0,1.0
2.0,0.4303796824754231,0.4395252933054853,0.009145610830062212,0.9415865207325791,1190.0,0.0,8.0,8.0,0.0,0.0,1.0
10.0,0.07536566378378394,0.08224406240797241,0.006878398624188473,0.9751256905356002,1188.0,0.0,8.0,8.0,0.0,0.0,1.0
15.0,0.11719651329022271,0.12379922908974547,0.0066027157995227626,0.9748458242336848,1190.0,0.0,8.0,8.0,0.0,0.0,1.0
15.0,0.0530627374162757,0.05947682548531212,0.006414088069036421,0.9645514385169067,1210.0,0.0,8.0,8.0,0.0,0.0,1.0
14.0,0.08978477965728006,0.09631593396209487,0.00653115430481481,0.9765892029043314,1201.0,0.0,8.0,8.0,0.0,0.0,1.0
4.0,0.07248136763304606,0.07981092083973299,0.00732955320668692,0.9738717806445035,1175.0,0.0,8.0,8.0,0.0,0.0,1.0
5.0,0.14976975586567362,0.15909753635540227,0.009327780489728654,0.9843296833132317,1195.0,0.0,8.0,8.0,0.0,0.0,1.0
8.0,0.03660467758688236,0.04301414537250413,0.006409467785621771,0.9503850855308038,1209.0,0.0,8.0,8.0,0.0,0.0,1.0
12.0,0.1526419380234811,0.15927487311721167,0.0066329350937305576,0.978547431908559,1197.0,0.0,8.0,8.0,0.0,0.0,1.0
0.0,0.07632151293624669,0.08287797396340611,0.006556461027159427,0.9909837166002398,1211.0,0.0,8.0,8.0,0.0,0.0,1.0
12.0,0.051964547298425035,0.05899841184083497,0.007033864542409937,0.9956948724905853,1206.0,0.0,8.0,8.0,0.0,0.0,1.0
2.0,0.1448826772007384,0.15199122757987238,0.0071085503791339655,0.974297803405507,1187.0,0.0,8.0,8.0,0.0,0.0,1.0
12.0,0.08150379470016511,0.08801120369221019,0.006507408992045077,0.9537717210000044,1204.0,0.0,8.0,8.0,0.0,0.0,1.0
0.0,0.09444318430892389,0.10133673264653381,0.0068935483376099255,0.9401629493726094,1208.0,0.0,8.0,8.0,0.0,0.0,1.0
6.0,0.2325133333148625,0.2390165795564283,0.0065032462415657855,0.9962665629230424,1200.0,0.0,8.0,8.0,0.0,0.0,1.0
9.0,0.10354284615011765,0.10988020070342068,0.006337354553303032,0.9687680049239351,1191.0,0.0,8.0,8.0,0.0,0.0,1.0
0.0,0.12763487201074158,0.14186132716646635,0.014226455155724765,0.9934092286079625,1187.0,0.0,8.0,8.0,0.0,0.0,1.0
13.0,0.07839759829699539,0.08481420961420058,0.006416611317205195,0.9954628877400198,1199.0,0.0,8.0,8.0,0.0,0.0,1.0
7.0,0.18315237104379312,0.189893029578569,0.006740658534775873,0.9979135880401027,1202.0,0.0,8.0,8.0,0.0,0.0,1.0
13.0,0.26350084141216407,0.2701973955555649,0.0066965541434008125,0.8698282108819118,1189.0,0.0,8.0,8.0,0.0,0.0,1.0
14.0,0.2246298686926446,0.2311798232239406,0.006549954531296004,0.9721488283578408,1207.0,0.0,8.0,8.0,0.0,0.0,1.0
5.0,0.05019999999999981,0.5234384090802853,0.47323840908028547,0.9904433582500116,1190.0,0.0,8.0,8.0,0.0,0.0,1.0
11.0,0.1437071151542599,0.15034602785602774,0.006638912701767835,0.9801123041977982,1195.0,0.0,8.0,8.0,0.0,0.0,1.0
3.0,0.11632826278424156,0.12285798834348546,0.006529725559243901,0.8881294239895071,1187.0,0.0,8.0,8.0,0.0,0.0,1.0
13.0,0.16444576862945665,0.17093009262125022,0.006484323991793578,0.9852124468637048,1203.0,0.0,8.0,8.0,0.0,0.0,1.0
13.0,0.06943343116311118,0.07588824819607265,0.0064548170329614685,0.923194292774784,1194.0,0.0,8.0,8.0,0.0,0.0,1.0
7.0,0.0884004885397783,0.09481783872420431,0.0064173501844260045,0.974167514160235,1196.0,0.0,8.0,8.0,0.0,0.0,1.0
12.0,0.05433909311945334,0.06105490946545064,0.0067158163459973,0.9966384930863321,1195.0,0.0,8.0,8.0,0.0,0.0,1.0
9.0,0.07879655408989318,0.08529161981994157,0.006495065730048391,0.9807422409469824,1198.0,0.0,8.0,8.0,0.0,0.0,1.0
5.0,0.11642304727483899,0.12292498955945659,0.006501942284617604,0.9839132337696266,1204.0,0.0,8.0,8.0,0.0,0.0,1.0
9.0,0.0802960067228311,0.08670189722644443,0.006405890503613329,0.9828792070235559,1207.0,0.0,8.0,8.0,0.0,0.0,1.0
15.0,0.10921849901440368,0.11588837872030178,0.0066698797058980935,0.9560664181289765,1184.0,0.0,8.0,8.0,0.0,0.0,1.0
