winning_agent,winning_bid_value,Winner Aggregated Signal,Profit,Probability,winning_bid_time,N,A,L,S,B,Delay
3.0,0.07205758224387251,0.07860878415082802,0.006551201906955503,0.9563586105280576,1197.0,0.0,8.0,0.0,8.0,0.0,1.0
11.0,0.05871750383366696,0.06530552450175475,0.006588020668087793,0.8944971051350158,1201.0,0.0,8.0,0.0,8.0,0.0,1.0
11.0,0.15391374200174457,0.16054868174990924,0.0066349397481646755,0.964321050734963,1194.0,0.0,8.0,0.0,8.0,0.0,1.0
15.0,0.11920178927563393,0.12564069417886664,0.006438904903232706,0.9295190173935218,1217.0,0.0,8.0,0.0,8.0,0.0,1.0
1.0,0.14437676263014212,0.15090217287607552,0.006525410245933394,0.9679282732609202,1206.0,0.0,8.0,0.0,8.0,0.0,1.0
13.0,0.08779765302567995,0.09445178995040143,0.006654136924721485,0.9943275200725541,1200.0,0.0,8.0,0.0,8.0,0.0,1.0
11.0,0.07714679564798785,0.0836918693412325,0.006545073693244655,0.9574858366708997,1187.0,0.0,8.0,0.0,8.0,0.0,1.0
11.0,0.11527663745020855,0.1220447945998848,0.006768157149676254,0.9424641905887343,1202.0,0.0,8.0,0.0,8.0,0.0,1.0
6.0,0.23091955517732204,0.2374931988814667,0.006573643704144649,0.9938011638776401,1223.0,0.0,8.0,0.0,8.0,0.0,1.0
15.0,0.04106103383487888,0.04769192378064596,0.006630889945767084,0.9160795285733351,1204.0,0.0,8.0,0.0,8.0,0.0,1.0
1.0,0.10505837240681279,0.11161256358283474,0.006554191176021948,0.9999931966062348,1191.0,0.0,8.0,0.0,8.0,0.0,1.0
1.0,0.05441068084287083,0.060968959742638246,0.006558278899767414,0.9634199044765861,1220.0,0.0,8.0,0.0,8.0,0.0,1.0
4.0,0.16183647336833665,0.16828833966810106,0.006451866299764408,0.9970408383631799,1199.0,0.0,8.0,0.0,8.0,0.0,1.0
7.0,0.07127609171152623,0.08281480766753757,0.011538715956011344,0.9922105156139182,1200.0,0.0,8.0,0.0,8.0,0.0,1.0
8.0,0.09231083970403275,0.09883276525479817,0.006521925550765417,0.9966307738796008,1194.0,0.0,8.0,0.0,8.0,0.0,1.0
15.0,0.1536157537110566,0.16020483912720046,0.006589085416143864,0.9989667308084574,1201.0,0.0,8.0,0.0,8.0,0.0,1.0
4.0,0.04521408486928625,0.05188702746595773,0.006672942596671484,0.9850497487046024,1202.0,0.0,8.0,0.0,8.0,0.0,1.0
8.0,0.10771388403599147,0.11452012798123519,0.00680624394524372,0.9815423421548055,1193.0,0.0,8.0,0.0,8.0,0.0,1.0
1.0,0.03673248074756096,0.043322333039348966,0.006589852291788004,0.9765431170372403,1206.0,0.0,8.0,0.0,8.0,0.0,1.0
13.0,0.15004978730549873,0.15663922368857924,0.006589436383080516,0.8783285180009457,1197.0,0.0,8.0,0.0,8.0,0.0,1.0
13.0,0.2538851224340187,0.26049430869191254,0.006609186257893862,0.9925522045769279,1204.0,0.0,8.0,0.0,8.0,0.0,1.0
