winning_agent,winning_bid_value,Winner Aggregated Signal,Profit,Probability,winning_bid_time,N,A,L,S,B,Delay
15.0,0.08673256106628024,0.09304755538251595,0.006314994316235709,0.9992286657943191,1214.0,0.0,0.0,8.0,0.0,8.0,1.0
12.0,0.2568315516456299,0.22060860941914398,-0.036222942226485894,0.8372549635119075,1206.0,0.0,0.0,8.0,0.0,8.0,1.0
3.0,0.10271667363160852,0.1091889952147776,0.006472321583169072,0.9679550318957362,1207.0,0.0,0.0,8.0,0.0,8.0,1.0
9.0,0.07680023996189135,0.08567872069834337,0.008878480736452019,0.9862200334616564,1201.0,0.0,0.0,8.0,0.0,8.0,1.0
10.0,0.26578959963031,0.09511275473127102,-0.170676844899039,0.821704714575107,1197.0,0.0,0.0,8.0,0.0,8.0,1.0
14.0,0.2664243885398299,0.08214168638692981,-0.1842827021529001,0.9927970914186375,1190.0,0.0,0.0,8.0,0.0,8.0,1.0
8.0,0.2544387246688607,0.0795129359120644,-0.1749257887567963,0.934910464261705,1194.0,0.0,0.0,8.0,0.0,8.0,1.0
8.0,0.26156237996927,0.24123997703433153,-0.020322402934938477,0.8807403700005852,1194.0,0.0,0.0,8.0,0.0,8.0,1.0
15.0,0.2660574935711881,0.10989665335565002,-0.15616084021553805,0.9514549697660393,1191.0,0.0,0.0,8.0,0.0,8.0,1.0
10.0,0.26435461573511565,0.11467510114587647,-0.14967951458923917,0.8435932501593176,1185.0,0.0,0.0,8.0,0.0,8.0,1.0
8.0,0.2652886049411001,0.11746443345310593,-0.1478241714879942,0.9528634614248668,1198.0,0.0,0.0,8.0,0.0,8.0,1.0
12.0,0.26861351957104007,0.05823787887711218,-0.2103756406939279,0.9446354633130586,1187.0,0.0,0.0,8.0,0.0,8.0,1.0
10.0,0.26904898664296556,0.15476087412912337,-0.11428811251384219,0.9732315926794093,1180.0,0.0,0.0,8.0,0.0,8.0,1.0
12.0,0.26577813217423374,0.07659184920377672,-0.18918628297045703,0.8979180815431376,1199.0,0.0,0.0,8.0,0.0,8.0,1.0
14.0,0.25269026319625476,0.039586686579604125,-0.21310357661665064,0.9020879425903906,1200.0,0.0,0.0,8.0,0.0,8.0,1.0
10.0,0.26362754921301934,0.04660894551626219,-0.21701860369675716,0.8148184021127614,1191.0,0.0,0.0,8.0,0.0,8.0,1.0
10.0,0.2689199566792365,0.06803233758125272,-0.2008876190979838,0.9984615270918014,1192.0,0.0,0.0,8.0,0.0,8.0,1.0
12.0,0.40124571281479526,0.40775532357048444,0.006509610755689177,0.9758928616123386,1189.0,0.0,0.0,8.0,0.0,8.0,1.0
8.0,0.2694972758805731,0.057601930857009376,-0.21189534502356372,0.9175777591001439,1178.0,0.0,0.0,8.0,0.0,8.0,1.0
