winning_agent,winning_bid_value,Winner Aggregated Signal,Profit,Probability,winning_bid_time,N,A,L,S,B,Delay
11.0,0.04340907793569087,0.050073544893374344,0.006664466957683475,0.91,1192.0,15.0,0.0,0.0,0.0,0.0,1.0
13.0,0.11416086518556257,0.12073358833013656,0.006572723144573994,0.93,1209.0,15.0,0.0,0.0,0.0,0.0,1.0
14.0,0.09655022321925323,0.10317406356036367,0.006623840341110437,0.9400000000000001,1193.0,15.0,0.0,0.0,0.0,0.0,1.0
6.0,0.09439574351839157,0.10088023805281562,0.006484494534424054,0.8600000000000001,1193.0,15.0,0.0,0.0,0.0,0.0,1.0
12.0,0.12887403737587075,0.1354910903128859,0.006617052937015144,0.92,1188.0,15.0,0.0,0.0,0.0,0.0,1.0
14.0,0.09034269834200495,0.0968818457359,0.006539147393895051,0.9400000000000001,1199.0,15.0,0.0,0.0,0.0,0.0,1.0
11.0,0.10327070558481563,0.10957203394564358,0.006301328360827946,0.91,1187.0,15.0,0.0,0.0,0.0,0.0,1.0
3.0,0.17811462755311586,0.184767364809311,0.00665273725619514,0.8300000000000001,1211.0,15.0,0.0,0.0,0.0,0.0,1.0
13.0,0.08016641972488399,0.08677419666774736,0.0066077769428633665,0.93,1192.0,15.0,0.0,0.0,0.0,0.0,1.0
10.0,0.05969903599955884,0.06631841111554498,0.006619375115986141,0.9,1184.0,15.0,0.0,0.0,0.0,0.0,1.0
12.0,0.1155614066164351,0.12228618392652765,0.00672477731009255,0.92,1184.0,15.0,0.0,0.0,0.0,0.0,1.0
5.0,0.12660626327723623,0.13320464541220775,0.00659838213497152,0.8500000000000001,1206.0,15.0,0.0,0.0,0.0,0.0,1.0
5.0,0.0696221309727995,0.07610425025569711,0.0064821192828976165,0.8500000000000001,1202.0,15.0,0.0,0.0,0.0,0.0,1.0
9.0,0.24227316653395942,0.2488321576491917,0.006558991115232282,0.89,1192.0,15.0,0.0,0.0,0.0,0.0,1.0
12.0,0.2593313238906904,0.26596319353085757,0.006631869640167154,0.92,1190.0,15.0,0.0,0.0,0.0,0.0,1.0
13.0,0.10706131181272122,0.11354812593746724,0.0064868141247460265,0.93,1207.0,15.0,0.0,0.0,0.0,0.0,1.0
11.0,0.0467746659891252,0.0533875858420992,0.006612919852973999,0.91,1211.0,15.0,0.0,0.0,0.0,0.0,1.0
0.0,0.07055852727453604,0.07709491178761364,0.0065363845130776005,0.8,1193.0,15.0,0.0,0.0,0.0,0.0,1.0
9.0,0.19177330030397155,0.19822483494344317,0.006451534639471623,0.89,1190.0,15.0,0.0,0.0,0.0,0.0,1.0
