winning_agent,winning_bid_value,Winner Aggregated Signal,Profit,Probability,winning_bid_time,N,A,L,S,B,Delay
9.0,0.08518619650049845,0.09169846043491908,0.0065122639344206285,0.9772195701127765,1202.0,8.0,8.0,0.0,0.0,0.0,1.0
3.0,0.0431730089708064,0.04979215614637417,0.0066191471755677675,0.9891837454651446,1187.0,8.0,8.0,0.0,0.0,0.0,1.0
1.0,0.029091727532336204,0.035569026237413176,0.006477298705076972,0.9889838263448651,1184.0,8.0,8.0,0.0,0.0,0.0,1.0
7.0,0.1224618037965171,0.1289948608724718,0.00653305707595471,0.9980606864599576,1212.0,8.0,8.0,0.0,0.0,0.0,1.0
3.0,0.047491655336185476,0.05397219268904431,0.006480537352858834,0.9972884431375324,1207.0,8.0,8.0,0.0,0.0,0.0,1.0
15.0,0.06724455737426592,0.0740386673312522,0.0067941099569862745,0.9549153693939456,1194.0,8.0,8.0,0.0,0.0,0.0,1.0
0.0,0.1502594249551192,0.1569787854447762,0.006719360489656989,0.9705950895278681,1217.0,8.0,8.0,0.0,0.0,0.0,1.0
8.0,0.031721381818848385,0.03850803910543898,0.006786657286590593,0.9923017581026615,1182.0,8.0,8.0,0.0,0.0,0.0,1.0
7.0,0.07954718384272598,0.08713564866236109,0.007588464819635113,0.9937321897983376,1213.0,8.0,8.0,0.0,0.0,0.0,1.0
7.0,0.18136464230813373,0.1878843683540002,0.006519726045866453,0.9804817257037716,1197.0,8.0,8.0,0.0,0.0,0.0,1.0
12.0,0.06428517997445955,0.07083782314232735,0.0065526431678678,0.970527615807381,1172.0,8.0,8.0,0.0,0.0,0.0,1.0
0.0,0.08981328637378608,0.09639488975223416,0.006581603378448084,0.9898558244491101,1199.0,8.0,8.0,0.0,0.0,0.0,1.0
3.0,0.28529471796134165,0.29203198767900346,0.006737269717661809,0.9901002362995347,1197.0,8.0,8.0,0.0,0.0,0.0,1.0
13.0,0.11824479456777338,0.12480590909596405,0.006561114528190665,0.9857640699076323,1192.0,8.0,8.0,0.0,0.0,0.0,1.0
1.0,0.08966305261609632,0.09615409279878015,0.00649104018268383,0.9899529006325035,1193.0,8.0,8.0,0.0,0.0,0.0,1.0
7.0,0.0719782724362897,0.07843486002685436,0.006456587590564666,0.9601869106022396,1196.0,8.0,8.0,0.0,0.0,0.0,1.0
14.0,0.10288873529760405,0.10959245085982527,0.006703715562221227,0.9888508399988268,1215.0,8.0,8.0,0.0,0.0,0.0,1.0
6.0,0.04950473835003436,0.0559151878060854,0.006410449456051036,0.9503758588853631,1199.0,8.0,8.0,0.0,0.0,0.0,1.0
14.0,0.04444321943978282,0.050962040284418614,0.006518820844635793,0.9999445459494893,1200.0,8.0,8.0,0.0,0.0,0.0,1.0
1.0,0.17933609162038217,0.1858710057054116,0.006534914085029431,0.9964851244533084,1205.0,8.0,8.0,0.0,0.0,0.0,1.0
15.0,0.12066818695777341,0.12715735835348657,0.006489171395713159,0.9072026179313305,1224.0,8.0,8.0,0.0,0.0,0.0,1.0
12.0,0.04716240850713782,0.053616128742215066,0.0064537202350772455,0.9772880124510477,1206.0,8.0,8.0,0.0,0.0,0.0,1.0
12.0,0.0989919873001266,0.10544862869944788,0.0064566413993212834,0.9424871036963571,1201.0,8.0,8.0,0.0,0.0,0.0,1.0
9.0,0.081463307249023,0.08792977301711857,0.006466465768095578,0.9224761697257292,1188.0,8.0,8.0,0.0,0.0,0.0,1.0
0.0,0.09217856914251427,0.11125062435493416,0.01907205521241989,0.9550075582125394,1199.0,8.0,8.0,0.0,0.0,0.0,1.0
15.0,0.13515704175699123,0.14220718575788094,0.007050144000889713,0.975760478514187,1190.0,8.0,8.0,0.0,0.0,0.0,1.0
8.0,0.10637735006997183,0.1128604769357829,0.0064831268658110675,0.9217872012719048,1194.0,8.0,8.0,0.0,0.0,0.0,1.0
2.0,0.056434066462212835,0.06327197289525414,0.006837906433041309,0.9470084253431076,1205.0,8.0,8.0,0.0,0.0,0.0,1.0
9.0,0.15613964313573023,0.16294636910255583,0.006806725966825605,0.9760997166952423,1199.0,8.0,8.0,0.0,0.0,0.0,1.0
6.0,0.23465665948986025,0.24123023595064857,0.006573576460788322,0.9881665765658805,1193.0,8.0,8.0,0.0,0.0,0.0,1.0
9.0,0.13571548891002674,0.1422654075289171,0.0065499186188903435,0.996701430741841,1198.0,8.0,8.0,0.0,0.0,0.0,1.0
5.0,0.05811095049841164,0.06466935622551093,0.006558405727099287,0.989796056999573,1193.0,8.0,8.0,0.0,0.0,0.0,1.0
