winning_agent,winning_bid_value,Winner Aggregated Signal,Profit,Probability,winning_bid_time,N,A,L,S,B,Delay
7.0,0.19922884339939512,0.2057027857672546,0.006473942367859475,0.9694425778472862,1192.0,8.0,0.0,0.0,8.0,0.0,1.0
6.0,0.185072600628812,0.1916927514227634,0.006620150793951396,0.957375514935427,1190.0,8.0,0.0,0.0,8.0,0.0,1.0
2.0,0.1297132954984768,0.13625699670925387,0.006543701210777075,0.9277331442866383,1171.0,8.0,0.0,0.0,8.0,0.0,1.0
0.0,0.06933638361272262,0.07702018391307522,0.0076838003003525945,0.971936762204342,1177.0,8.0,0.0,0.0,8.0,0.0,1.0
2.0,0.10067841611922441,0.10720406494107816,0.006525648821853747,0.9982049712800587,1202.0,8.0,0.0,0.0,8.0,0.0,1.0
11.0,0.1732673133929532,0.17967436779582235,0.00640705440286915,0.9883930211795695,1209.0,8.0,0.0,0.0,8.0,0.0,1.0
2.0,0.09373472875839377,0.10067780299445554,0.006943074236061775,0.9875523144119175,1205.0,8.0,0.0,0.0,8.0,0.0,1.0
6.0,0.4335531733615704,0.44020303143503425,0.006649858073463855,0.9892024660154137,1200.0,8.0,0.0,0.0,8.0,0.0,1.0
8.0,0.04752986024602061,0.05387848596451653,0.006348625718495926,0.9897641207273811,1190.0,8.0,0.0,0.0,8.0,0.0,1.0
9.0,0.07826493763559678,0.0847572673108139,0.006492329675217123,0.9415582722895111,1204.0,8.0,0.0,0.0,8.0,0.0,1.0
2.0,0.09159016010576683,0.0982488999105863,0.006658739804819472,0.9852887974716262,1187.0,8.0,0.0,0.0,8.0,0.0,1.0
5.0,0.06852431501449505,0.07569172084821446,0.007167405833719415,0.9918210509268444,1186.0,8.0,0.0,0.0,8.0,0.0,1.0
1.0,0.14137031203149622,0.14790881475456302,0.0065385027230668025,0.9792447623214574,1192.0,8.0,0.0,0.0,8.0,0.0,1.0
0.0,0.18782207161834596,0.1944952779680013,0.006673206349655347,0.9868092895495941,1192.0,8.0,0.0,0.0,8.0,0.0,1.0
14.0,0.0735279203218285,0.07999902845515605,0.006471108133327547,0.9874307628490674,1191.0,8.0,0.0,0.0,8.0,0.0,1.0
7.0,0.05446804328519811,0.06096359252961331,0.0064955492444152,0.9790431341426218,1183.0,8.0,0.0,0.0,8.0,0.0,1.0
1.0,0.08548491209902312,0.09192128089361082,0.006436368794587699,0.9907810082397321,1192.0,8.0,0.0,0.0,8.0,0.0,1.0
9.0,0.30095643482419265,0.311627961818131,0.010671526993938363,0.9518645401993059,1197.0,8.0,0.0,0.0,8.0,0.0,1.0
5.0,0.09475798865197942,0.1014755249909183,0.006717536338938887,0.9457829237016596,1187.0,8.0,0.0,0.0,8.0,0.0,1.0
4.0,0.38099792680324474,0.38744087437779784,0.006442947574553104,0.937648417685633,1204.0,8.0,0.0,0.0,8.0,0.0,1.0
4.0,0.1398704851643728,0.14643955979092657,0.006569074626553761,0.9988205374120736,1185.0,8.0,0.0,0.0,8.0,0.0,1.0
2.0,0.09529705672064868,0.10172057274829903,0.0064235160276503445,0.99802134026661,1199.0,8.0,0.0,0.0,8.0,0.0,1.0
9.0,0.16406928452997488,0.17058098227950777,0.006511697749532891,0.9286459584793662,1205.0,8.0,0.0,0.0,8.0,0.0,1.0
8.0,0.04126965358626604,0.047744799914558225,0.006475146328292186,0.9997438749352325,1229.0,8.0,0.0,0.0,8.0,0.0,1.0
5.0,0.13892464705449795,0.1474125120537848,0.00848786499928686,0.9790120066196883,1204.0,8.0,0.0,0.0,8.0,0.0,1.0
1.0,0.05282558018050393,0.05931619024650756,0.006490610066003634,0.9970629739978987,1196.0,8.0,0.0,0.0,8.0,0.0,1.0
14.0,0.14106844177106817,0.14775883791623212,0.0066903961451639515,0.9079443676468839,1191.0,8.0,0.0,0.0,8.0,0.0,1.0
12.0,0.04246964598228934,0.049068817817410335,0.006599171835120994,0.9125620916693059,1208.0,8.0,0.0,0.0,8.0,0.0,1.0
8.0,0.20974801486008268,0.2163593348505467,0.006611319990464021,0.9767651572304431,1206.0,8.0,0.0,0.0,8.0,0.0,1.0
9.0,0.06217072324798099,0.06868787265168373,0.006517149403702745,0.928513514143877,1202.0,8.0,0.0,0.0,8.0,0.0,1.0
1.0,0.03663343411727895,0.04310893507610366,0.006475500958824709,0.9946873131050449,1195.0,8.0,0.0,0.0,8.0,0.0,1.0
10.0,0.18652202559285536,0.19316501670982605,0.006642991116970698,0.9881820702775548,1199.0,8.0,0.0,0.0,8.0,0.0,1.0
15.0,0.5355635769415236,0.5422186257001215,0.0066550487585979035,0.9970303489797334,1199.0,8.0,0.0,0.0,8.0,0.0,1.0
14.0,0.25533549323390764,0.2619976416035974,0.006662148369689758,0.9710072594468905,1204.0,8.0,0.0,0.0,8.0,0.0,1.0
13.0,0.19795669516517134,0.20455322172074522,0.006596526555573884,0.9506893325480776,1204.0,8.0,0.0,0.0,8.0,0.0,1.0
14.0,0.09295858780419376,0.10081941022762214,0.007860822423428379,0.9906115022418948,1195.0,8.0,0.0,0.0,8.0,0.0,1.0
15.0,0.07157999699574621,0.07812762206854271,0.006547625072796492,0.9242543540659035,1203.0,8.0,0.0,0.0,8.0,0.0,1.0
